date,equity,cash,shares,spot,option_liability,collateral,available_cash,state,buy_hold,buy_hold_100
2018-10-17,103127.395827,103768.287413,0.0,280.450012,640.891586,28100.0,75668.287413,SHORT_PUT,105708.720628,101534.602319
2018-10-18,102912.208837,103768.287413,0.0,276.399994,856.078575,28100.0,75668.287413,SHORT_PUT,104202.113816,101129.600488
2018-10-19,102829.500928,103768.287413,0.0,276.25,938.786485,28100.0,75668.287413,SHORT_PUT,104146.316087,101114.601099
2018-10-22,102798.677132,103768.287413,0.0,275.01001,969.610281,28100.0,75668.287413,SHORT_PUT,103685.03972,100990.602075
2018-10-23,102722.588198,103768.287413,0.0,273.609985,1045.699215,28100.0,75668.287413,SHORT_PUT,103164.230638,100850.599634
2018-10-24,102034.762064,103768.287413,0.0,265.320007,1733.525349,28100.0,75668.287413,SHORT_PUT,100080.358812,100021.601831
2018-10-25,102355.163105,103768.287413,0.0,270.079987,1413.124308,28100.0,75668.287413,SHORT_PUT,101851.071092,100497.599756
2018-10-26,102001.314755,103768.287413,0.0,265.329987,1766.972658,28100.0,75668.287413,SHORT_PUT,100084.071092,100022.599756
2018-10-29,101905.798581,103768.287413,0.0,263.859985,1862.488831,28100.0,75668.287413,SHORT_PUT,99537.230638,99875.599634
2018-10-30,102265.832578,103768.287413,0.0,267.769989,1502.454835,28100.0,75668.287413,SHORT_PUT,100991.752,100266.6
2018-10-31,102547.701395,103768.287413,0.0,270.630005,1220.586018,28100.0,75668.287413,SHORT_PUT,102055.677903,100552.601587
2018-11-01,102835.344222,103768.287413,0.0,273.51001,932.94319,28100.0,75668.287413,SHORT_PUT,103127.03972,100840.602075
